"Index Num","Country of Origin","Country of Origin-ISO2","Asylum Data",Year,Age,Sex,"Country of Asylum"
39,Afghanistan,AF,150,2012,Total,Females,"Germany (until 1990 former territory of the FRG)"
40,Afghanistan,AF,55,2013,Total,Females,"Germany (until 1990 former territory of the FRG)"
41,Afghanistan,AF,70,2014,Total,Females,"Germany (until 1990 former territory of the FRG)"
42,Afghanistan,AF,185,2015,Total,Females,"Germany (until 1990 former territory of the FRG)"
43,Afghanistan,AF,460,2016,Total,Females,"Germany (until 1990 former territory of the FRG)"
44,Afghanistan,AF,155,2017,Total,Females,"Germany (until 1990 former territory of the FRG)"
45,Afghanistan,AF,70,2018,Total,Females,"Germany (until 1990 former territory of the FRG)"
46,Afghanistan,AF,65,2019,Total,Females,"Germany (until 1990 former territory of the FRG)"
47,Afghanistan,AF,10,2009,Total,Females,Denmark
48,Afghanistan,AF,10,2010,Total,Females,Denmark
49,Afghanistan,AF,5,2011,Total,Females,Denmark
50,Afghanistan,AF,5,2012,Total,Females,Denmark
51,Afghanistan,AF,5,2013,Total,Females,Denmark
52,Afghanistan,AF,5,2014,Total,Females,Denmark
53,Afghanistan,AF,30,2015,Total,Females,Denmark
54,Afghanistan,AF,25,2016,Total,Females,Denmark
55,Afghanistan,AF,5,2008,Total,Females,Greece
56,Afghanistan,AF,5,2012,Total,Females,Greece
57,Afghanistan,AF,5,2013,Total,Females,Greece
58,Afghanistan,AF,15,2014,Total,Females,Greece
59,Afghanistan,AF,10,2015,Total,Females,Greece
60,Afghanistan,AF,45,2016,Total,Females,Greece
61,Afghanistan,AF,20,2017,Total,Females,Greece
62,Afghanistan,AF,30,2018,Total,Females,Greece
63,Afghanistan,AF,85,2019,Total,Females,Greece
64,Afghanistan,AF,30,2008,Total,Females,"European Union - 27 countries (from 2020)"
65,Afghanistan,AF,120,2009,Total,Females,"European Union - 27 countries (from 2020)"
66,Afghanistan,AF,150,2010,Total,Females,"European Union - 27 countries (from 2020)"
67,Afghanistan,AF,300,2011,Total,Females,"European Union - 27 countries (from 2020)"
68,Afghanistan,AF,380,2012,Total,Females,"European Union - 27 countries (from 2020)"
69,Afghanistan,AF,190,2013,Total,Females,"European Union - 27 countries (from 2020)"
70,Afghanistan,AF,285,2014,Total,Females,"European Union - 27 countries (from 2020)"
71,Afghanistan,AF,1525,2015,Total,Females,"European Union - 27 countries (from 2020)"
72,Afghanistan,AF,740,2016,Total,Females,"European Union - 27 countries (from 2020)"
73,Afghanistan,AF,245,2017,Total,Females,"European Union - 27 countries (from 2020)"
74,Afghanistan,AF,155,2018,Total,Females,"European Union - 27 countries (from 2020)"
75,Afghanistan,AF,220,2019,Total,Females,"European Union - 27 countries (from 2020)"
76,Afghanistan,AF,40,2008,Total,Females,"European Union - 28 countries (2013-2020)"
77,Afghanistan,AF,125,2009,Total,Females,"European Union - 28 countries (2013-2020)"
78,Afghanistan,AF,160,2010,Total,Females,"European Union - 28 countries (2013-2020)"
79,Afghanistan,AF,310,2011,Total,Females,"European Union - 28 countries (2013-2020)"
80,Afghanistan,AF,380,2012,Total,Females,"European Union - 28 countries (2013-2020)"
81,Afghanistan,AF,190,2013,Total,Females,"European Union - 28 countries (2013-2020)"
82,Afghanistan,AF,290,2014,Total,Females,"European Union - 28 countries (2013-2020)"
83,Afghanistan,AF,1525,2015,Total,Females,"European Union - 28 countries (2013-2020)"
84,Afghanistan,AF,745,2016,Total,Females,"European Union - 28 countries (2013-2020)"
85,Afghanistan,AF,245,2017,Total,Females,"European Union - 28 countries (2013-2020)"
86,Afghanistan,AF,155,2018,Total,Females,"European Union - 28 countries (2013-2020)"
87,Afghanistan,AF,225,2019,Total,Females,"European Union - 28 countries (2013-2020)"
88,Afghanistan,AF,5,2009,Total,Females,Finland
89,Afghanistan,AF,5,2010,Total,Females,Finland
90,Afghanistan,AF,45,2014,Total,Females,Finland
91,Afghanistan,AF,45,2015,Total,Females,Finland
92,Afghanistan,AF,20,2016,Total,Females,Finland
93,Afghanistan,AF,5,2011,Total,Females,France
94,Afghanistan,AF,5,2016,Total,Females,France
95,Afghanistan,AF,10,2012,Total,Females,Hungary
96,Afghanistan,AF,370,2015,Total,Females,Hungary
97,Afghanistan,AF,10,2009,Total,Females,Netherlands
98,Afghanistan,AF,15,2010,Total,Females,Netherlands
99,Afghanistan,AF,25,2011,Total,Females,Netherlands
100,Afghanistan,AF,20,2012,Total,Females,Netherlands
101,Afghanistan,AF,5,2013,Total,Females,Netherlands
102,Afghanistan,AF,5,2014,Total,Females,Netherlands
103,Afghanistan,AF,25,2015,Total,Females,Netherlands
104,Afghanistan,AF,20,2016,Total,Females,Netherlands
105,Afghanistan,AF,10,2017,Total,Females,Netherlands
106,Afghanistan,AF,5,2018,Total,Females,Netherlands
107,Afghanistan,AF,5,2019,Total,Females,Netherlands
108,Afghanistan,AF,5,2008,Total,Females,Norway
109,Afghanistan,AF,5,2009,Total,Females,Norway
110,Afghanistan,AF,10,2010,Total,Females,Norway
111,Afghanistan,AF,15,2011,Total,Females,Norway
112,Afghanistan,AF,15,2012,Total,Females,Norway
113,Afghanistan,AF,10,2013,Total,Females,Norway
114,Afghanistan,AF,10,2014,Total,Females,Norway
115,Afghanistan,AF,50,2015,Total,Females,Norway
116,Afghanistan,AF,10,2016,Total,Females,Norway
117,Afghanistan,AF,5,2018,Total,Females,Poland
118,Afghanistan,AF,10,2008,Total,Females,Sweden
119,Afghanistan,AF,15,2009,Total,Females,Sweden
120,Afghanistan,AF,40,2010,Total,Females,Sweden
121,Afghanistan,AF,100,2011,Total,Females,Sweden
122,Afghanistan,AF,135,2012,Total,Females,Sweden
123,Afghanistan,AF,85,2013,Total,Females,Sweden
124,Afghanistan,AF,110,2014,Total,Females,Sweden
125,Afghanistan,AF,680,2015,Total,Females,Sweden
126,Afghanistan,AF,65,2016,Total,Females,Sweden
127,Afghanistan,AF,30,2017,Total,Females,Sweden
128,Afghanistan,AF,20,2018,Total,Females,Sweden
129,Afghanistan,AF,35,2019,Total,Females,Sweden
130,Afghanistan,AF,5,2019,Total,Females,Slovenia
131,Afghanistan,AF,40,2008,Total,Females,Total
132,Afghanistan,AF,125,2009,Total,Females,Total
133,Afghanistan,AF,160,2010,Total,Females,Total
134,Afghanistan,AF,310,2011,Total,Females,Total
135,Afghanistan,AF,380,2012,Total,Females,Total
136,Afghanistan,AF,190,2013,Total,Females,Total
137,Afghanistan,AF,290,2014,Total,Females,Total
138,Afghanistan,AF,1525,2015,Total,Females,Total
139,Afghanistan,AF,780,2016,Total,Females,Total
140,Afghanistan,AF,270,2017,Total,Females,Total
141,Afghanistan,AF,175,2018,Total,Females,Total
142,Afghanistan,AF,255,2019,Total,Females,Total
143,Afghanistan,AF,10,2008,Total,Females,"United Kingdom"
144,Afghanistan,AF,5,2009,Total,Females,"United Kingdom"
145,Afghanistan,AF,10,2010,Total,Females,"United Kingdom"
146,Afghanistan,AF,10,2011,Total,Females,"United Kingdom"
147,Afghanistan,AF,5,2014,Total,Females,"United Kingdom"
148,Afghanistan,AF,5,2015,Total,Females,"United Kingdom"
149,Afghanistan,AF,5,2016,Total,Females,"United Kingdom"
150,Afghanistan,AF,5,2019,Total,Females,"United Kingdom"
151,Afghanistan,AF,5,2009,Unknown,Females,"European Union - 27 countries (from 2020)"
152,Afghanistan,AF,5,2010,Unknown,Females,"European Union - 27 countries (from 2020)"
153,Afghanistan,AF,5,2012,Unknown,Females,"European Union - 27 countries (from 2020)"
154,Afghanistan,AF,5,2009,Unknown,Females,"European Union - 28 countries (2013-2020)"
155,Afghanistan,AF,5,2010,Unknown,Females,"European Union - 28 countries (2013-2020)"
156,Afghanistan,AF,5,2011,Unknown,Females,"European Union - 28 countries (2013-2020)"
157,Afghanistan,AF,5,2012,Unknown,Females,"European Union - 28 countries (2013-2020)"
158,Afghanistan,AF,5,2009,Unknown,Females,Netherlands
159,Afghanistan,AF,5,2010,Unknown,Females,Netherlands
160,Afghanistan,AF,5,2012,Unknown,Females,Netherlands
161,Afghanistan,AF,5,2009,Unknown,Females,Total
162,Afghanistan,AF,5,2010,Unknown,Females,Total
163,Afghanistan,AF,5,2011,Unknown,Females,Total
164,Afghanistan,AF,5,2012,Unknown,Females,Total
165,Afghanistan,AF,5,2010,"From 14 to 15 years",Females,Austria
166,Afghanistan,AF,5,2011,"From 14 to 15 years",Females,Austria
167,Afghanistan,AF,10,2012,"From 14 to 15 years",Females,Austria
168,Afghanistan,AF,5,2013,"From 14 to 15 years",Females,Austria
169,Afghanistan,AF,10,2014,"From 14 to 15 years",Females,Austria
170,Afghanistan,AF,30,2015,"From 14 to 15 years",Females,Austria
171,Afghanistan,AF,20,2016,"From 14 to 15 years",Females,Austria
172,Afghanistan,AF,5,2017,"From 14 to 15 years",Females,Austria
173,Afghanistan,AF,5,2011,"From 14 to 15 years",Females,Belgium
174,Afghanistan,AF,5,2012,"From 14 to 15 years",Females,Belgium
175,Afghanistan,AF,5,2013,"From 14 to 15 years",Females,Belgium
176,Afghanistan,AF,5,2014,"From 14 to 15 years",Females,Belgium
177,Afghanistan,AF,10,2015,"From 14 to 15 years",Females,Belgium
178,Afghanistan,AF,5,2016,"From 14 to 15 years",Females,Bulgaria
179,Afghanistan,AF,5,2011,"From 14 to 15 years",Females,Switzerland
180,Afghanistan,AF,10,2015,"From 14 to 15 years",Females,Switzerland
181,Afghanistan,AF,10,2016,"From 14 to 15 years",Females,Switzerland
182,Afghanistan,AF,5,2017,"From 14 to 15 years",Females,Switzerland
183,Afghanistan,AF,5,2018,"From 14 to 15 years",Females,Switzerland
184,Afghanistan,AF,5,2019,"From 14 to 15 years",Females,Switzerland
185,Afghanistan,AF,15,2009,"From 14 to 15 years",Females,"Germany (until 1990 former territory of the FRG)"
186,Afghanistan,AF,10,2010,"From 14 to 15 years",Females,"Germany (until 1990 former territory of the FRG)"
187,Afghanistan,AF,35,2011,"From 14 to 15 years",Females,"Germany (until 1990 former territory of the FRG)"
188,Afghanistan,AF,35,2012,"From 14 to 15 years",Females,"Germany (until 1990 former territory of the FRG)"
189,Afghanistan,AF,10,2013,"From 14 to 15 years",Females,"Germany (until 1990 former territory of the FRG)"
190,Afghanistan,AF,20,2014,"From 14 to 15 years",Females,"Germany (until 1990 former territory of the FRG)"
191,Afghanistan,AF,45,2015,"From 14 to 15 years",Females,"Germany (until 1990 former territory of the FRG)"
192,Afghanistan,AF,115,2016,"From 14 to 15 years",Females,"Germany (until 1990 former territory of the FRG)"
193,Afghanistan,AF,25,2017,"From 14 to 15 years",Females,"Germany (until 1990 former territory of the FRG)"
194,Afghanistan,AF,10,2018,"From 14 to 15 years",Females,"Germany (until 1990 former territory of the FRG)"
195,Afghanistan,AF,25,2019,"From 14 to 15 years",Females,"Germany (until 1990 former territory of the FRG)"
196,Afghanistan,AF,5,2012,"From 14 to 15 years",Females,Denmark
197,Afghanistan,AF,5,2014,"From 14 to 15 years",Females,Denmark
198,Afghanistan,AF,5,2015,"From 14 to 15 years",Females,Denmark
199,Afghanistan,AF,5,2016,"From 14 to 15 years",Females,Denmark
200,Afghanistan,AF,5,2014,"From 14 to 15 years",Females,Greece
201,Afghanistan,AF,5,2015,"From 14 to 15 years",Females,Greece
202,Afghanistan,AF,10,2016,"From 14 to 15 years",Females,Greece
203,Afghanistan,AF,5,2017,"From 14 to 15 years",Females,Greece
204,Afghanistan,AF,10,2018,"From 14 to 15 years",Females,Greece
205,Afghanistan,AF,25,2019,"From 14 to 15 years",Females,Greece
206,Afghanistan,AF,5,2008,"From 14 to 15 years",Females,"European Union - 27 countries (from 2020)"
207,Afghanistan,AF,30,2009,"From 14 to 15 years",Females,"European Union - 27 countries (from 2020)"
208,Afghanistan,AF,30,2010,"From 14 to 15 years",Females,"European Union - 27 countries (from 2020)"
209,Afghanistan,AF,75,2011,"From 14 to 15 years",Females,"European Union - 27 countries (from 2020)"
210,Afghanistan,AF,105,2012,"From 14 to 15 years",Females,"European Union - 27 countries (from 2020)"
211,Afghanistan,AF,45,2013,"From 14 to 15 years",Females,"European Union - 27 countries (from 2020)"
212,Afghanistan,AF,90,2014,"From 14 to 15 years",Females,"European Union - 27 countries (from 2020)"
213,Afghanistan,AF,375,2015,"From 14 to 15 years",Females,"European Union - 27 countries (from 2020)"
214,Afghanistan,AF,175,2016,"From 14 to 15 years",Females,"European Union - 27 countries (from 2020)"
215,Afghanistan,AF,45,2017,"From 14 to 15 years",Females,"European Union - 27 countries (from 2020)"
216,Afghanistan,AF,30,2018,"From 14 to 15 years",Females,"European Union - 27 countries (from 2020)"
217,Afghanistan,AF,60,2019,"From 14 to 15 years",Females,"European Union - 27 countries (from 2020)"
218,Afghanistan,AF,5,2008,"From 14 to 15 years",Females,"European Union - 28 countries (2013-2020)"
219,Afghanistan,AF,30,2009,"From 14 to 15 years",Females,"European Union - 28 countries (2013-2020)"
220,Afghanistan,AF,35,2010,"From 14 to 15 years",Females,"European Union - 28 countries (2013-2020)"
221,Afghanistan,AF,80,2011,"From 14 to 15 years",Females,"European Union - 28 countries (2013-2020)"
222,Afghanistan,AF,105,2012,"From 14 to 15 years",Females,"European Union - 28 countries (2013-2020)"
223,Afghanistan,AF,45,2013,"From 14 to 15 years",Females,"European Union - 28 countries (2013-2020)"
224,Afghanistan,AF,95,2014,"From 14 to 15 years",Females,"European Union - 28 countries (2013-2020)"
225,Afghanistan,AF,375,2015,"From 14 to 15 years",Females,"European Union - 28 countries (2013-2020)"
226,Afghanistan,AF,175,2016,"From 14 to 15 years",Females,"European Union - 28 countries (2013-2020)"
227,Afghanistan,AF,45,2017,"From 14 to 15 years",Females,"European Union - 28 countries (2013-2020)"
228,Afghanistan,AF,30,2018,"From 14 to 15 years",Females,"European Union - 28 countries (2013-2020)"
229,Afghanistan,AF,60,2019,"From 14 to 15 years",Females,"European Union - 28 countries (2013-2020)"
230,Afghanistan,AF,20,2014,"From 14 to 15 years",Females,Finland
231,Afghanistan,AF,10,2015,"From 14 to 15 years",Females,Finland
232,Afghanistan,AF,35,2015,"From 14 to 15 years",Females,Hungary
233,Afghanistan,AF,5,2010,"From 14 to 15 years",Females,Netherlands
234,Afghanistan,AF,10,2011,"From 14 to 15 years",Females,Netherlands
235,Afghanistan,AF,5,2015,"From 14 to 15 years",Females,Netherlands
236,Afghanistan,AF,5,2016,"From 14 to 15 years",Females,Netherlands
237,Afghanistan,AF,5,2017,"From 14 to 15 years",Females,Netherlands
238,Afghanistan,AF,5,2018,"From 14 to 15 years",Females,Netherlands
239,Afghanistan,AF,5,2009,"From 14 to 15 years",Females,Norway
240,Afghanistan,AF,5,2011,"From 14 to 15 years",Females,Norway
241,Afghanistan,AF,5,2012,"From 14 to 15 years",Females,Norway
242,Afghanistan,AF,5,2013,"From 14 to 15 years",Females,Norway
243,Afghanistan,AF,5,2014,"From 14 to 15 years",Females,Norway
244,Afghanistan,AF,15,2015,"From 14 to 15 years",Females,Norway
245,Afghanistan,AF,5,2016,"From 14 to 15 years",Females,Norway
246,Afghanistan,AF,5,2009,"From 14 to 15 years",Females,Sweden
247,Afghanistan,AF,5,2010,"From 14 to 15 years",Females,Sweden
248,Afghanistan,AF,25,2011,"From 14 to 15 years",Females,Sweden
249,Afghanistan,AF,45,2012,"From 14 to 15 years",Females,Sweden
250,Afghanistan,AF,20,2013,"From 14 to 15 years",Females,Sweden
251,Afghanistan,AF,30,2014,"From 14 to 15 years",Females,Sweden
252,Afghanistan,AF,230,2015,"From 14 to 15 years",Females,Sweden
253,Afghanistan,AF,15,2016,"From 14 to 15 years",Females,Sweden
254,Afghanistan,AF,5,2017,"From 14 to 15 years",Females,Sweden
255,Afghanistan,AF,5,2018,"From 14 to 15 years",Females,Sweden
256,Afghanistan,AF,10,2019,"From 14 to 15 years",Females,Sweden
257,Afghanistan,AF,5,2008,"From 14 to 15 years",Females,Total
258,Afghanistan,AF,30,2009,"From 14 to 15 years",Females,Total
259,Afghanistan,AF,35,2010,"From 14 to 15 years",Females,Total
260,Afghanistan,AF,80,2011,"From 14 to 15 years",Females,Total
261,Afghanistan,AF,105,2012,"From 14 to 15 years",Females,Total
262,Afghanistan,AF,45,2013,"From 14 to 15 years",Females,Total
263,Afghanistan,AF,95,2014,"From 14 to 15 years",Females,Total
264,Afghanistan,AF,375,2015,"From 14 to 15 years",Females,Total
265,Afghanistan,AF,190,2016,"From 14 to 15 years",Females,Total
266,Afghanistan,AF,50,2017,"From 14 to 15 years",Females,Total
267,Afghanistan,AF,35,2018,"From 14 to 15 years",Females,Total
268,Afghanistan,AF,70,2019,"From 14 to 15 years",Females,Total
269,Afghanistan,AF,5,2011,"From 14 to 15 years",Females,"United Kingdom"
270,Afghanistan,AF,5,2009,"From 16 to 17 years",Females,Austria
271,Afghanistan,AF,10,2011,"From 16 to 17 years",Females,Austria
272,Afghanistan,AF,15,2012,"From 16 to 17 years",Females,Austria
273,Afghanistan,AF,10,2013,"From 16 to 17 years",Females,Austria
274,Afghanistan,AF,10,2014,"From 16 to 17 years",Females,Austria
275,Afghanistan,AF,65,2015,"From 16 to 17 years",Females,Austria
276,Afghanistan,AF,35,2016,"From 16 to 17 years",Females,Austria
277,Afghanistan,AF,10,2017,"From 16 to 17 years",Females,Austria
278,Afghanistan,AF,5,2018,"From 16 to 17 years",Females,Austria
279,Afghanistan,AF,5,2019,"From 16 to 17 years",Females,Austria
280,Afghanistan,AF,5,2011,"From 16 to 17 years",Females,Belgium
281,Afghanistan,AF,5,2012,"From 16 to 17 years",Females,Belgium
282,Afghanistan,AF,10,2015,"From 16 to 17 years",Females,Belgium
283,Afghanistan,AF,5,2016,"From 16 to 17 years",Females,Belgium
284,Afghanistan,AF,5,2016,"From 16 to 17 years",Females,Bulgaria
285,Afghanistan,AF,5,2011,"From 16 to 17 years",Females,Switzerland
286,Afghanistan,AF,5,2012,"From 16 to 17 years",Females,Switzerland
287,Afghanistan,AF,10,2015,"From 16 to 17 years",Females,Switzerland
288,Afghanistan,AF,10,2016,"From 16 to 17 years",Females,Switzerland
289,Afghanistan,AF,5,2017,"From 16 to 17 years",Females,Switzerland
290,Afghanistan,AF,5,2018,"From 16 to 17 years",Females,Switzerland
291,Afghanistan,AF,10,2019,"From 16 to 17 years",Females,Switzerland
292,Afghanistan,AF,40,2009,"From 16 to 17 years",Females,"Germany (until 1990 former territory of the FRG)"
293,Afghanistan,AF,45,2010,"From 16 to 17 years",Females,"Germany (until 1990 former territory of the FRG)"
294,Afghanistan,AF,70,2011,"From 16 to 17 years",Females,"Germany (until 1990 former territory of the FRG)"
295,Afghanistan,AF,75,2012,"From 16 to 17 years",Females,"Germany (until 1990 former territory of the FRG)"
296,Afghanistan,AF,30,2013,"From 16 to 17 years",Females,"Germany (until 1990 former territory of the FRG)"
297,Afghanistan,AF,45,2014,"From 16 to 17 years",Females,"Germany (until 1990 former territory of the FRG)"
298,Afghanistan,AF,85,2015,"From 16 to 17 years",Females,"Germany (until 1990 former territory of the FRG)"
299,Afghanistan,AF,255,2016,"From 16 to 17 years",Females,"Germany (until 1990 former territory of the FRG)"
300,Afghanistan,AF,90,2017,"From 16 to 17 years",Females,"Germany (until 1990 former territory of the FRG)"
301,Afghanistan,AF,30,2018,"From 16 to 17 years",Females,"Germany (until 1990 former territory of the FRG)"
302,Afghanistan,AF,25,2019,"From 16 to 17 years",Females,"Germany (until 1990 former territory of the FRG)"
303,Afghanistan,AF,5,2009,"From 16 to 17 years",Females,Denmark
304,Afghanistan,AF,5,2010,"From 16 to 17 years",Females,Denmark
305,Afghanistan,AF,5,2012,"From 16 to 17 years",Females,Denmark
306,Afghanistan,AF,5,2014,"From 16 to 17 years",Females,Denmark
307,Afghanistan,AF,20,2015,"From 16 to 17 years",Females,Denmark
308,Afghanistan,AF,15,2016,"From 16 to 17 years",Females,Denmark
309,Afghanistan,AF,5,2014,"From 16 to 17 years",Females,Greece
310,Afghanistan,AF,5,2015,"From 16 to 17 years",Females,Greece
311,Afghanistan,AF,20,2016,"From 16 to 17 years",Females,Greece
312,Afghanistan,AF,10,2017,"From 16 to 17 years",Females,Greece
313,Afghanistan,AF,15,2018,"From 16 to 17 years",Females,Greece
314,Afghanistan,AF,45,2019,"From 16 to 17 years",Females,Greece
315,Afghanistan,AF,10,2008,"From 16 to 17 years",Females,"European Union - 27 countries (from 2020)"
316,Afghanistan,AF,65,2009,"From 16 to 17 years",Females,"European Union - 27 countries (from 2020)"
317,Afghanistan,AF,90,2010,"From 16 to 17 years",Females,"European Union - 27 countries (from 2020)"
318,Afghanistan,AF,150,2011,"From 16 to 17 years",Females,"European Union - 27 countries (from 2020)"
319,Afghanistan,AF,170,2012,"From 16 to 17 years",Females,"European Union - 27 countries (from 2020)"
320,Afghanistan,AF,90,2013,"From 16 to 17 years",Females,"European Union - 27 countries (from 2020)"
321,Afghanistan,AF,140,2014,"From 16 to 17 years",Females,"European Union - 27 countries (from 2020)"
322,Afghanistan,AF,585,2015,"From 16 to 17 years",Females,"European Union - 27 countries (from 2020)"
323,Afghanistan,AF,385,2016,"From 16 to 17 years",Females,"European Union - 27 countries (from 2020)"
324,Afghanistan,AF,135,2017,"From 16 to 17 years",Females,"European Union - 27 countries (from 2020)"
325,Afghanistan,AF,70,2018,"From 16 to 17 years",Females,"European Union - 27 countries (from 2020)"
326,Afghanistan,AF,95,2019,"From 16 to 17 years",Females,"European Union - 27 countries (from 2020)"
327,Afghanistan,AF,15,2008,"From 16 to 17 years",Females,"European Union - 28 countries (2013-2020)"
328,Afghanistan,AF,70,2009,"From 16 to 17 years",Females,"European Union - 28 countries (2013-2020)"
329,Afghanistan,AF,95,2010,"From 16 to 17 years",Females,"European Union - 28 countries (2013-2020)"
330,Afghanistan,AF,150,2011,"From 16 to 17 years",Females,"European Union - 28 countries (2013-2020)"
331,Afghanistan,AF,170,2012,"From 16 to 17 years",Females,"European Union - 28 countries (2013-2020)"
332,Afghanistan,AF,90,2013,"From 16 to 17 years",Females,"European Union - 28 countries (2013-2020)"
333,Afghanistan,AF,140,2014,"From 16 to 17 years",Females,"European Union - 28 countries (2013-2020)"
334,Afghanistan,AF,585,2015,"From 16 to 17 years",Females,"European Union - 28 countries (2013-2020)"
335,Afghanistan,AF,385,2016,"From 16 to 17 years",Females,"European Union - 28 countries (2013-2020)"
336,Afghanistan,AF,135,2017,"From 16 to 17 years",Females,"European Union - 28 countries (2013-2020)"
337,Afghanistan,AF,70,2018,"From 16 to 17 years",Females,"European Union - 28 countries (2013-2020)"
338,Afghanistan,AF,100,2019,"From 16 to 17 years",Females,"European Union - 28 countries (2013-2020)"
339,Afghanistan,AF,5,2009,"From 16 to 17 years",Females,Finland
340,Afghanistan,AF,25,2014,"From 16 to 17 years",Females,Finland
341,Afghanistan,AF,20,2015,"From 16 to 17 years",Females,Finland
342,Afghanistan,AF,5,2011,"From 16 to 17 years",Females,France
343,Afghanistan,AF,5,2016,"From 16 to 17 years",Females,France
344,Afghanistan,AF,50,2015,"From 16 to 17 years",Females,Hungary
345,Afghanistan,AF,5,2009,"From 16 to 17 years",Females,Netherlands
346,Afghanistan,AF,5,2010,"From 16 to 17 years",Females,Netherlands
347,Afghanistan,AF,10,2011,"From 16 to 17 years",Females,Netherlands
348,Afghanistan,AF,5,2012,"From 16 to 17 years",Females,Netherlands
349,Afghanistan,AF,5,2013,"From 16 to 17 years",Females,Netherlands
350,Afghanistan,AF,10,2015,"From 16 to 17 years",Females,Netherlands
351,Afghanistan,AF,10,2016,"From 16 to 17 years",Females,Netherlands
352,Afghanistan,AF,5,2017,"From 16 to 17 years",Females,Netherlands
353,Afghanistan,AF,5,2008,"From 16 to 17 years",Females,Norway
354,Afghanistan,AF,10,2010,"From 16 to 17 years",Females,Norway
355,Afghanistan,AF,10,2011,"From 16 to 17 years",Females,Norway
356,Afghanistan,AF,5,2012,"From 16 to 17 years",Females,Norway
357,Afghanistan,AF,10,2013,"From 16 to 17 years",Females,Norway
358,Afghanistan,AF,5,2014,"From 16 to 17 years",Females,Norway
359,Afghanistan,AF,25,2015,"From 16 to 17 years",Females,Norway
360,Afghanistan,AF,5,2016,"From 16 to 17 years",Females,Norway
361,Afghanistan,AF,5,2008,"From 16 to 17 years",Females,Sweden
362,Afghanistan,AF,10,2009,"From 16 to 17 years",Females,Sweden
363,Afghanistan,AF,25,2010,"From 16 to 17 years",Females,Sweden
364,Afghanistan,AF,50,2011,"From 16 to 17 years",Females,Sweden
365,Afghanistan,AF,60,2012,"From 16 to 17 years",Females,Sweden
366,Afghanistan,AF,40,2013,"From 16 to 17 years",Females,Sweden
367,Afghanistan,AF,50,2014,"From 16 to 17 years",Females,Sweden
368,Afghanistan,AF,315,2015,"From 16 to 17 years",Females,Sweden
369,Afghanistan,AF,30,2016,"From 16 to 17 years",Females,Sweden
370,Afghanistan,AF,15,2017,"From 16 to 17 years",Females,Sweden
371,Afghanistan,AF,15,2018,"From 16 to 17 years",Females,Sweden
372,Afghanistan,AF,15,2019,"From 16 to 17 years",Females,Sweden
373,Afghanistan,AF,15,2008,"From 16 to 17 years",Females,Total
374,Afghanistan,AF,70,2009,"From 16 to 17 years",Females,Total
375,Afghanistan,AF,95,2010,"From 16 to 17 years",Females,Total
376,Afghanistan,AF,150,2011,"From 16 to 17 years",Females,Total
377,Afghanistan,AF,170,2012,"From 16 to 17 years",Females,Total
